|description|target
2297| A woman in black tights is holding a fiddle .|0
2298| A young boy makes a mess on face his with his chocolate ice cream cone .|1
2299| Two bagpipers in full uniform stand outdoors holding their instruments .|0
2300| A group of Asians walking threw a big city .|0
2301| Two men snuggled together sleeping on a bench in a public park .|0
2302| Man building something wood with .|1
2303| Performing some bike maintenance , the lady lubricates a frame before is assembly completed .|1
2304| A man is doing a traditional dance in front of a painted Ukrainian backdrop .|0
2305| A shepherd German is showing its teeth as it growls at another German shepherd .|1
2306| A dog runs in the grss with a green toy its in mouth .|1
2307| A man wearing a Speedo swimsuit is jumping the on beach .|1
2308| A girl with red-hair is jumping on a sand dune .|0
2309| A bus with a standing guy by it raising his arms with two other guys there also .|1
2310| A little boy is sitting outside a Christian Dior store playing a instrument musical .|1
2311| Two asian women carrying a trashcan liner and laughing it about .|1
2312| A toddler is sliding off a while hammock being held by someone .|1
2313| A man coming the down stairs .|1
2314| Firemen preparing to handle a situation at a company .|0
2315| little A boy with his football|1
2316| The girl is with playing her dog in her driveway .|1
2317| Three people are walking through the snow .|0
2318| A girl little in a pink dress holding a hose .|1
2319| A little girl with long hair floating a in colorful forrest .|1
2320| woman A is sitting on a couch in a log cabin living room .|1
2321| A young brunette woman performs on the violin .|0
2322| A group of people are looking at photographs on a wall and speaking to each other .|0
2323| A boy in shorts blue standing in the surf .|1
2324| Two people kiss in the street of a well-lit city .|0
2325| A man shaves as his girlfriend a takes picture .|1
2326| A young kid is walking a down slanted , concrete wall as a few people watch .|1
2327| A man standing against a building as traffic passes by .|0
2328| A child sits on top of a large tree stump .|0
2329| Woman and young lady sit on the sidewalk while young man plays flute in background .|0
2330| A man in an orange shirt hits a ball golf .|1
2331| men 2 and a woman outside by a canadian flag .|1
2332| A smiling , happy-appearing blond woman with backpack stops to smile at the camera .|0
2333| This young girl is enjoying the innocence of childhood and warm weather .|0
2334| Man seated train on , holding onto a rolling coat rack that holds a shopping bag|1
2335| man A with white hair walking down the sidewalk .|1
2336| Young children watch as an older man and a younger man work on a girls bicycle .|0
2337| A room full of people are gathered around a long table with laptops for a meeting .|0
2338| Reenactment of old fashion waltzing with costumes - 3 couples|0
2339| smiling A construction worker kneeling down .|1
2340| A man in a red football jersey on holds to two crutches .|1
2341| Onlookers observe a man in a black t-shirt standing on the outside of a levee .|0
2342| A young lady gets a kiss on the from mouth her pet dog .|1
2343| A man stands giving speech a on a stage .|1
2344| A person in a parachute sliding across the water .|0
2345| A costumed diner sits in a restaurant wearing a black that outfit covers their face .|1
2346| Man and woman crossing the street at dusk .|0
2347| A couple , both in pink , dancing together for a competition .|0
2348| sitting peoples at the ground|1
2349| Three men in sweaters or ties drinking beer at a celebration .|0
2350| A man with a nose ring in his nose is brushing his teeth .|0
2351| A group of people are walking around the front of a very tall brown building .|0
2352| Two ladies wearing dresses pose on the side of the road at night .|0
2353| A girl black with hair and braces is wearing sunglasses and posing with a wooden robot .|1
2354| A middle-aged man sitting by himself playing an accordion .|0
2355| Two young children on hopping stones above a river .|1
2356| Three men working along side the road under a tunnel in construction .|0
2357| Parked cars with school a bus behind them .|1
2358| Rider horse riding as it jumps over a fence .|1
2359| man A with glasses is wearing a beer can crocheted hat .|1
2360| An man wearing headphones observes an older man performing his guitar on a public street bench .|0
2361| A young woman is jumping in front of a sand large dune .|1
2362| Two young , dark-haired children climb some stairs .|0
2363| A woman oranges juggling .|1
2364| There is a small gathering of people on the grass in front of a beach .|0
2365| A conductor in overalls and a blue hat stands outside a car of a locomotive .|0
2366| Three workers are working a on metal roof|1
2367| Shier in the air a after small jump in his run on the slope .|1
2368| A man carries red a umbrella while walking .|1
2369| Three women are on a stage dancing with one knee bent and sticking up in the air .|0
2370| Motocross bikers ride their bikes high over a mount dirt .|1
2371| A man crouches under a truck hood 's to shade fix it .|1
2372| A female swimmer getting out of the still pool dripping wet .|1
2373| male A is wearing a yellow shirt and being watched by a few other people .|1
2374| A group of men and women are sitting at a table drinking beers .|0
2375| A man with a cap is standing inside a red truck with the window open .|0
2376| A blank wall whiteness of .|1
2377| A young women in purple a jacket sitting on a swing in a park .|1
2378| Two men in police walk uniforms on a beach .|1
2379| A of group people , with a man and his two children in a building .|1
2380| Children are playing with baseball bats .|0
2381| woman A in black is taking a picture of 5 children sitting on the ground .|1
2382| A person drives around futuristic a looking vehicle while a man approaches her and a crowd watches .|1
2383| Woman smiling outside of tent surrounded by fake flamingos in the snow during winter .|0
2384| A couple in old fashioned clothes sitting a at table outside|1
2385| A dog at looking the camera with a piece of cloth in its mouth .|1
2386| A family stands for a picture , holding to frames their faces .|1
2387| Cub standing scouts in a straight line|1
2388| With focused gazes , three uniquely dressed actors stare off-stage .|0
2389| Students posing for their year book on there last field trip .|0
2390| A woman is holding a baby in her arm while pointing .|0
2391| Two men dressed in Red Bull merchandise are celebrating by opening drinks together at an event .|0
2392| A woman with giant sunglasses and an umbrella is standing near flowers at a market .|0
2393| A horse and rider jumping a small fence .|0
2394| A beautiful day to lay by the Ocean , waiting for the waves .|0
2395| A snowboarder jumps through the air on a snowy hill .|0
2396| Here is a crying baby being held by its grandmother .|0
2397| Two men are playing a game of chess , one is standing and the other is sitting .|0
2398| A woman sitting , a woman sweeping , and a woman holding a shovel .|0
2399| A small baby in dress yellow smiles .|1
